Session,Video,Group Video Link
2,1,https://youtu.be/s3JtN4EeS9I
2,2,https://youtu.be/bLe3ZMhle8c
2,3,https://youtu.be/ZCjdeCH5bZ8
2,4,https://youtu.be/iCVWbHRATDQ
2,5,https://youtu.be/OIKDHR82xzw
2,6,https://youtu.be/sQGZe_RxgSs
2,7,https://youtu.be/KsBTgfuDA-8
2,8,https://youtu.be/YmLohrpk-CY
2,9,https://youtu.be/3ZPlMy5a4OM
2,10,https://youtu.be/mqtHRBlXmYo
2,11,https://youtu.be/enQzBfajfP4
2,12,https://youtu.be/To6dYsST4e4
2,13,https://youtu.be/yaOhb0L8McY
2,14,https://youtu.be/jQdiPdqArWs
2,15,https://youtu.be/RNoaRAHiZ0Y
2,16,https://youtu.be/URGRX3kFQII
2,17,https://youtu.be/ZeENVk7A6Sw
2,18,https://youtu.be/3OFKGBJNk0U
2,19,https://youtu.be/kb3V9a7VXgw
2,20,https://youtu.be/XKUzhlnNnf8
2,21,https://youtu.be/BZKyr2laLEc
3,1,https://youtu.be/vMvwwdU86AA
3,2,https://youtu.be/zaPHlfQJK0Q
3,3,https://youtu.be/tZ3yDS7xmj4
3,4,https://youtu.be/BRajBXI8WVc
3,5,https://youtu.be/Kb2XSa1hyRY
3,6,https://youtu.be/MSv8mw5sC_M
3,7,https://youtu.be/gMu13C6pb-A
3,8,https://youtu.be/Wta3Nm8uEas
3,9,https://youtu.be/TzMYZhGJd2o
3,10,https://youtu.be/-hCLu_nOqpI
3,11,https://youtu.be/5XPoxYNpvyo
3,12,https://youtu.be/K2UNbiH4tKE
5,1,https://youtu.be/cqhHJESudXA
5,2,https://youtu.be/jxahhsdOHyc
5,3,https://youtu.be/xSiMRazKkn8
5,4,https://youtu.be/gMhc4S0udeQ
5,5,https://youtu.be/KHY3IUtt1rg
5,6,https://youtu.be/_e0fF5nLAZU
5,7,https://youtu.be/AiwErhKoqq0
5,8,https://youtu.be/tPVKunZ9YRk
5,9,https://youtu.be/vK3Z5jO4C1Y
5,10,https://youtu.be/W_SY4B_evLQ
5,11,https://youtu.be/AreJSsOU4V0
5,12,https://youtu.be/Wt0PwsvIttk
6,1,https://youtu.be/h4R2pM0iXkM
6,2,https://youtu.be/0ZI_JAS8xdA
6,3,https://youtu.be/_0dtBA4ZzTs
6,4,https://youtu.be/cGLT8Bea_5s
6,5,https://youtu.be/AqgV868I5Dg
6,6,https://youtu.be/FCzw4j26ujo
6,7,https://youtu.be/vWGr49zRlQk
6,8,https://youtu.be/i7rWkHYQkxY
6,9,https://youtu.be/pFuwpZT0sVQ
6,10,https://youtu.be/PfqKW3ba-0o